name(The Jux Prix)

snap(-20,-35,-50)
sky(100,70,200)
fog(200,100,0)
ground(120,180,180)
polys(30,100,100)
fadefrom(3500)
density(6)
nlaps(2)
lightson()

set(47,0,0,0)p
set(10,0,5600,0)p
set(10,0,11200,0)
chk(40,0,13460,0)
set(14,0,15750,0)pt
set(10,4550,15750,90)
set(28,7760,15750,90)pr
set(10,10150,15750,90)
set(10,15750,15750,90)
chk(40,17800,15750,90)
set(14,20300,15750,-90)
set(10,20300,11200,0)
set(10,20300,5600,0)
set(28,20300,7980,0)pr
set(10,20300,0,0)
chk(40,20300,-1940,0)
set(14,20300,-4550,180)pt
set(10,15750,-4550,-90)p
set(11,10150,-4550,-90)p
set(11,4550,-4550,-90)
set(14,0,-4550,90)
set(26,2352,-4550,90)pr
set(10,-12250,-4550,90)
set(10,-17850,-4550,90)
set(10,-23450,-4550,90)
chk(40,-25740,-4550,90)
set(14,-28000,-4550,90)
set(10,-28000,0,180)
set(10,-28000,5600,0)
set(28,-28000,2840,0)
set(10,-28000,11200,0)
set(14,-28000,15750,0)
chk(40,-28000,13680,0)
set(10,-23450,15750,90)
set(10,-17850,15750,-90)
set(10,-12250,15750,-90)
set(14,-7700,15750,-90)
chk(40,-9940,15750,90)
set(10,-7700,11200,0)
set(11,-7700,5600,0)
set(11,-7700,0,0)
set(10,-7700,-16800,180)
set(10,-7700,-22400,180)
set(10,-7700,-28000,180)
chk(40,-7700,-30146,0)
set(14,-7700,-32550,180)
set(10,-12250,-32550,-90)
set(10,-17850,-32550,90)
set(28,-16008,-32550,90)
set(10,-23450,-32550,90)
chk(40,-25540,-32550,90)
set(14,-28000,-32550,90)
set(10,-28000,-28000,180)
set(10,-28000,-22400,0)
set(28,-28000,-24644,0)
set(10,-28000,-16800,0)
set(14,-28000,-12250,0)
chk(40,-28000,-14392,0)
set(10,-23450,-12250,90)
set(11,-17850,-12250,90)
set(11,-12250,-12250,90)
set(10,10150,-12250,-90)
set(10,15750,-12250,-90)
set(10,21350,-12250,-90)
chk(40,23390,-12250,90)
set(14,25900,-12250,180)
set(10,25900,-7700,180)
set(10,25900,-2100,0)
set(29,25900,-3216,0)
set(10,25900,3500,0)
set(10,25900,9100,0)
set(10,25900,14700,0)
chk(40,25900,16990,0)
set(14,25900,19250,-90)
set(10,21350,19250,-90)
set(10,15750,19250,90)
set(29,18173,19250,90)pr
set(10,10150,19250,90)
set(10,4550,19250,90)
set(10,-1050,19250,90)
set(10,-6650,19250,-90)
set(29,-3765,19250,-90)
set(10,-12250,19250,-90)
set(10,-17850,19250,-90)
set(10,-23450,19250,-90)
set(28,-20540,15750,-90)
set(10,-29050,19250,-90)
chk(40,-31215,19250,90)
set(14,-33600,19250,0)
set(10,-33600,14700,0)
set(10,-33600,9100,180)
set(29,-33600,10852,180)
set(10,-33600,3500,180)
set(10,-33600,-2100,180)
set(10,-33600,-7700,180)
set(10,-33600,-13300,180)
set(29,-33600,-8336,180)
set(10,-33600,-18900,180)
set(10,-33600,-24500,180)
set(10,-33600,-30100,180)
set(10,-33600,-35700,180)
chk(40,-33600,-37983,0)
set(14,-33600,-40250,90)
set(10,-29050,-40250,90)
set(10,-23450,-40250,-90)
set(29,-25316,-40250,-90)
set(10,-17850,-40250,-90)
set(10,-12250,-40250,-90)
set(10,-6650,-40250,-90)
set(10,-1050,-40250,-90)
set(29,-4328,-40250,-90)
set(10,4550,-40250,-90)
set(10,10150,-40250,-90)
set(10,15750,-40250,-90)
set(10,21350,-40250,-90)
chk(40,23404,-40250,90)
set(14,25900,-40250,180)
set(10,25900,-35700,180)
set(10,25900,-30100,0)
set(28,25900,-33540,0)
set(10,25900,-24500,0)
set(14,25900,-19950,-90)
chk(40,25900,-22103,0)
set(10,21350,-19950,-90)
set(10,15750,-19950,-90)
set(28,19642,-19950,90)
set(10,10150,-19950,-90)
set(10,4550,-19950,90)
chk(40,2317,-19950,90)
set(14,0,-19950,90)
set(10,0,-15400,0)
set(14,-7700,-4550,180)
set(26,-7700,-2202,180)
set(14,-7700,-12250,-90)
set(26,-10054,-12250,-90)
set(23,7350,-12250,-90)
set(23,0,-12600,180)
set(26,0,-13258,0)
fix(41,0,-6000,-1600,0)

maxl(14,-37450,-41700)
maxb(14,-44100,-35050)
maxr(14,29750,-41700)
maxt(14,23100,-35050)
